,CP18-0194,CP18-0198,CP18-0270,CP18-0283,CP18-0372,CP18-0397,CP18-0489,CP18-0515,CP18-0517,CP18-0644,CP18-0651,CP18-0661,CP18-0869,CP18-0966,CP18-0968,CP18-0991,CP18-0994,CP18-1008,CP18-1015,CP18-1039,CP18-1041,CP18-1042,CP18-1043,CP18-1176,CP18-1182,CP18-1324,CP18-1330,CP18-1342,CP18-1387,CP18-1394,CP18-1395,CP18-1417,CP18-1425,CP18-1576,CP18-1596,CP18-1611,CP18-1612,CP18-1618,CP18-1786,CP18-1884,CP18-1901 POL,CP18-1921 POL,HB 17-3183,HB 17-3208,HB 19-3031,XL16-002,XL16-188,XL17-211,XL17-226,XL16-326
CP18-1041,0.384141728,0.293274492,0.143622249,0.388649493,0.247774988,0.41057165,0.499184534,0.392512977,0.418700784,0.199609071,0.211630456,0.17624715,0.518445104,0.51753585,0.24073267,0.614842787,0.437064201,0.225915819,0.391137585,0.525932655,1.171403557,0.483048931,0.476336196,0.531409435,0.619607076,0.308879711,0.377623707,0.34886656,0.375377417,0.342411906,0.342411906,0.380910531,0.344895691,0.29337576,0.335965097,0.397077352,0.382300705,0.252423406,0.304202713,0.304202713,0.216293305,0.083545186,0.173360027,0.133069351,0.274301901,0.266935453,0.471165955,0.321602538,0.234050721,0.412275195
CP18-1042,0.31439954,0.263908863,0.104444295,0.339773007,0.211873651,0.327653885,0.448415518,0.325804681,0.36359261,0.183633752,0.193131469,0.136658639,0.392906934,0.24703519,0.199212074,0.267390326,0.312814116,0.194988191,0.335224032,0.487355277,0.483048931,1.131479442,0.435225815,0.252997756,0.342552677,0.243115768,0.333180547,0.223259196,0.333145544,0.304589748,0.304589748,0.353715628,0.415574133,0.253612116,0.277251776,0.332670689,0.318992212,0.216715842,0.257304102,0.257304102,0.190772682,0.156341456,0.137396082,0.104975179,0.262032539,0.300075382,0.410262197,0.222152457,0.175985962,0.360619515
CP18-1043,0.284509167,0.221577257,0.109305799,0.300701916,0.181659728,0.334301725,0.460729003,0.312078267,0.342687711,0.156969115,0.189222835,0.155041099,0.350632653,0.258301996,0.444619425,0.264570713,0.30868803,0.21825096,0.340329319,0.49292919,0.476336196,0.435225815,1.123131394,0.244190551,0.336168781,0.261447899,0.33588554,0.2167098,0.353630006,0.323646709,0.323646709,0.314061955,0.281538576,0.494961888,0.299740151,0.353426129,0.336549893,0.214765608,0.260783546,0.260783546,0.176623225,0.074164577,0.141885143,0.114856251,0.287377566,0.218034521,0.361984909,0.247059181,0.149162456,0.346533626
CP18-1176,0.34282577,0.242058545,0.151399061,0.323740304,0.198774189,0.401107453,0.281674631,0.338235274,0.318721995,0.401588291,0.200809166,0.168919995,0.421933316,0.490053464,0.20283458,0.597838245,0.381374694,0.173091479,0.317376018,0.263606727,0.531409435,0.252997756,0.244190551,1.152409673,0.561928228,0.497207686,0.281182334,0.548882566,0.278360657,0.241340987,0.241340987,0.314518787,0.282434441,0.223370187,0.279166948,0.329699814,0.316756628,0.202191249,0.461633392,0.461633392,0.171650231,0.087219551,0.172858367,0.128263164,0.257049374,0.268147379,0.37574704,0.309276104,0.225378297,0.319578305
CP18-1182,0.419500023,0.323153198,0.159736007,0.425859287,0.26835531,0.38352862,0.37695007,0.443511993,0.425084546,0.218258336,0.24930048,0.211088866,0.556606755,0.536443792,0.253005497,0.651059046,0.627879009,0.219908059,0.48225899,0.362751678,0.619607076,0.342552677,0.336168781,0.561928228,1.209645271,0.338495776,0.385817811,0.377359897,0.383067727,0.317687526,0.317687526,0.423291683,0.382450491,0.295333683,0.338896938,0.487804294,0.419240758,0.430565834,0.305072829,0.305072829,0.241691202,0.094943404,0.198178243,0.161656834,0.312456965,0.301304579,0.511678815,0.362833261,0.260887429,0.449719042
CP18-1324,0.311790377,0.221229523,0.136415139,0.305031702,0.182367116,0.364702247,0.262950413,0.30809097,0.297306448,0.389601275,0.189770594,0.151619837,0.340654917,0.26193006,0.214498248,0.303397931,0.298587404,0.161152042,0.297404572,0.253895029,0.308879711,0.243115768,0.261447899,0.497207686,0.338495776,1.123038322,0.267336249,0.457299314,0.323257588,0.231607802,0.231607802,0.304514773,0.273683168,0.24088981,0.296726067,0.509230077,0.493055232,0.192738608,0.442223005,0.442223005,0.167793959,0.081383809,0.160557231,0.116561588,0.237882338,0.24399516,0.349717751,0.274719059,0.160264142,0.301335558
CP18-1330,0.342306763,0.274712086,0.122899115,0.36816185,0.225216508,0.333040878,0.351882741,0.368788838,0.419183031,0.178723924,0.210427217,0.170979798,0.431989208,0.292007647,0.25026948,0.308104873,0.35529609,0.296150431,0.427800953,0.557129577,0.377623707,0.333180547,0.33588554,0.281182334,0.385817811,0.267336249,1.155369103,0.250660613,0.545878679,0.542785689,0.542785689,0.447920129,0.410580203,0.476394296,0.333623748,0.371971726,0.511493593,0.243911982,0.460688204,0.460688204,0.285710067,0.08544948,0.159438882,0.14344164,0.26601994,0.244977891,0.441374063,0.264315411,0.181380048,0.497565448
CP18-1342,0.290412113,0.208223343,0.132178679,0.276626766,0.165751815,0.366207682,0.257052429,0.299867257,0.271840408,0.381606102,0.192768551,0.162755564,0.40948952,0.318621423,0.186464664,0.458229594,0.383730344,0.158489905,0.283840016,0.232601538,0.34886656,0.223259196,0.2167098,0.548882566,0.377359897,0.457299314,0.250660613,1.117835239,0.244010873,0.215753146,0.215753146,0.279631324,0.250966839,0.203437366,0.251216847,0.285776645,0.275342382,0.180070445,0.432617545,0.432617545,0.15064463,0.085252754,0.15546797,0.12490296,0.239613459,0.246462509,0.322709724,0.362084106,0.210786946,0.281992123
CP18-1387,0.339272425,0.26362893,0.124876261,0.367386453,0.222663552,0.334670663,0.352716029,0.365779728,0.418520495,0.179257952,0.209791034,0.170418859,0.427151874,0.280728929,0.258981518,0.297205344,0.348717943,0.243270323,0.372005984,0.560203105,0.375377417,0.333145544,0.353630006,0.278360657,0.383067727,0.323257588,0.545878679,0.244010873,1.158937275,0.546460196,0.546460196,0.452210009,0.412771508,0.494633406,0.362600919,0.427964658,0.40594992,0.244592845,0.463186346,0.463186346,0.289225817,0.08338137,0.15931413,0.135844357,0.253555365,0.237364098,0.440169632,0.284752399,0.161013439,0.390550852
CP18-1394,0.277562931,0.215872556,0.108657181,0.297462389,0.176095098,0.318518102,0.33490555,0.310265809,0.445610985,0.159665138,0.194171928,0.158291101,0.341184974,0.263582692,0.244817495,0.257766291,0.292099684,0.312965587,0.306847781,0.587522954,0.342411906,0.304589748,0.323646709,0.241340987,0.317687526,0.231607802,0.542785689,0.215753146,0.546460196,1.231307,0.656304002,0.42832306,0.35313417,0.509699985,0.50861986,0.307954341,0.287941456,0.20013085,0.486452036,0.486452036,0.249279261,0.080923326,0.142711945,0.126921073,0.232604422,0.217591301,0.357147843,0.231821373,0.147456944,0.311995149
