PlantYear,Cross,Female,Male,Location,Crop,Plot,Rep,Planted,Survival,Stool,Stalk,Height,Dia,PlotWeight,Brix,TRS,Fiber,Moisture,Pol. Reading,Purity,Sucrose %,MD Index,Spec Residual Outlier,Bu Wt,Bustalks,SW
2020,XL16-326,HOCP01-517,HOCP96-540,NI,2,36,1,32,20,,254,224.6,18.5,450,19.27273712,253.3448647,13.2728241,70.01807861,74.76233673,88.62600225,17.38000815,0.211625537,NO,15.25,,
2020,XL17-211,CP83-644,HO11-532,NI,2,37,1,32,20,,321,262.9,19.26,655,19.27863464,245.7065465,14.04666443,69.50595093,73.24391174,86.79695788,17.02653186,0.186193844,NO,15.55,,
2020,XL17-226,LCP81-010,HO13-705,NI,2,38,1,32,17,,230,272.6,18.71,500,19.32041168,244.8487484,14.23977966,69.00215454,73.13938141,86.46811169,16.99878063,0.156073637,NO,17.2,,
2020,CP18-1921 POLY,Ho16-666,Poly18-4,NI,2,39,1,32,26,,253,242.7,18.85,450,18.88823395,240.3175284,12.79730606,70.69798584,71.54251099,86.69694679,16.66251582,0.153695109,NO,13.45,,
2020,HB 19-3031,Ho18-9248,HoCP14-802,NI,2,40,1,32,20,,325,237.9,19.63,535,18.87709656,233.5561637,12.58808517,70.87605591,70.17488098,85.09437392,16.34486971,0.166917969,NO,12.35,,
2020,CP18-0651,HoCP16-685,HoL15-993,NI,2,41,1,32,19,,173,220.7,20.92,325,18.41289978,222.0984247,14.34160004,69.90966797,67.15795135,83.67606177,15.6772123,0.158611954,NO,18,,
2020,CP18-0489,HoCP16-685,Ho12-630,NI,2,42,1,32,18,,213,221,18.64,360,18.81239014,231.6045122,14.73892059,69.38075562,69.68273926,84.81474871,16.23531707,0.162006156,NO,15.75,,
2020,CP18-0966,Ho13-708,Ho15-930,NI,2,43,1,32,22,,229,229.1,21.81,455,19.88511963,249.7425546,14.19931793,68.77894897,75.0308609,85.94808012,17.39040941,0.192187418,NO,14.7,*9,
2020,CP18-1884,Ho13-739,HoCP14-885,NI,2,44,1,32,21,,269,212.6,20.46,440,19.34612427,241.7345641,12.43253098,70.60578613,72.55751801,85.65549291,16.86143801,0.180247122,NO,11.95,,
2020,CP18-1417,Ho16-680,Ho07-613,NI,2,45,1,32,24,,272,242,20.07,570,19.10804291,233.7185118,11.93320465,71.05408325,70.57421875,84.4498129,16.41951474,0.154604006,NO,14.5,*8,
2020,CP18-1394,Ho15-972,HoCP14-885,NI,2,46,1,32,29,,298,227.3,19.04,620,19.95013885,256.4156222,12.71178741,69.76601563,76.4755249,87.28963186,17.71960364,0.192868253,NO,11.5,,
2020,CP18-1901 POLY,Ho07-613,Poly18-3,NI,2,47,1,32,24,,268,249.6,20.66,660,18.79942932,232.6240295,11.93141861,71.29562378,69.86568451,85.10137519,16.27896024,0.185779809,NO,10.15,*8,
2020,HB 17-3183,Ho16-9068,HoCP12-650,NI,2,48,1,32,24,,327,227,17.92,500,20.24037018,257.7999585,12.88779755,69.14847412,77.22724915,86.75994581,17.86829614,0.207557574,NO,16.25,,
2020,HB 17-3208,HoCP14-902,Ho16-9061,NI,2,49,1,21,8,,151,235.2,18.13,275,19.47834167,248.8671021,14.01891174,69.2112915,74.19777679,86.9413163,17.23152082,0.14106591,NO,15.4,,
2020,CP18-1611,HoCP14-831,Ho11-573,NI,2,50,1,32,17,,191,231.7,19.78,495,17.9085022,208.7319174,13.26258545,71.2762085,63.71345139,81.81768869,14.90911586,0.172845725,NO,7.65,,
2020,CP18-0661,HoCP16-685,HoCP14-897,NI,2,1,2,32,11,,102,214.6,20.46,590,18.12619629,223.0740008,13.1804657,71.12918701,66.90339661,84.79392596,15.63928308,0.141767924,NO,17.95,,
2020,CP18-0994,HoCP14-830,HoL15-501,NI,2,2,2,32,25,,252,190.9,22.68,530,19.07633514,221.7862025,14.24567413,69.48151245,68.13923645,81.68416733,15.85543817,0.154613696,NO,13.55,,
2020,CP18-0283,Ho16-617,L12-201,NI,2,3,2,32,13,,153,189.1,22.09,235,17.90202942,219.5321043,12.52260895,71.93283081,65.84959412,84.59400739,15.40945517,0.181376541,NO,13.4,*9,
2020,CP18-0515,HoCP16-685,L12-201,NI,2,4,2,32,20,,218,227.1,20.29,285,18.29590912,229.1703637,13.87338409,70.4138916,68.38265991,85.79499563,15.97207604,0.161893236,NO,16.4,,
2020,CP18-0869,HoL15-501,HoCP96-540,NI,2,5,2,32,19,,256,183.5,21.22,320,18.85310669,230.7541509,11.01812057,71.88964844,69.5774765,84.48711143,16.20760358,0.205140039,NO,12.3,,
